<TICKER>,<SECTOR>,<INDUSTRY>
VOR.US,Healthcare,Biotechnology
STAR_D.US,NA,NA
AQNB.US,NA,NA
VVPR.US,Technology,Solar
ZGEN.US,NA,NA
RYAAY.US,Industrials,Airlines
IONR.US,Basic Materials,Other Industrial Metals & Mining
ARTL.US,Healthcare,Biotechnology
COLD.US,Real Estate,REIT—Industrial
DUK.US,Utilities,Utilities—Regulated Electric
SLNH.US,Technology,Information Technology Services
TASK.US,Technology,Information Technology Services
NTZ.US,Consumer Cyclical,Furnishings Fixtures & Appliances
TD.US,Financial Services,Banks—Diversified
ADBE.US,Technology,Software—Infrastructure
TGTX.US,Healthcare,Biotechnology
U.US,Technology,Software—Application
CPF.US,Financial Services,Banks—Regional
LAC.US,Basic Materials,Other Industrial Metals & Mining
CRTO.US,Communication Services,Advertising Agencies
VERA.US,Healthcare,Biotechnology
CORT.US,Healthcare,Biotechnology
MTEX.US,Consumer Defensive,Household & Personal Products
TYL.US,Technology,Software—Application
BKNG.US,Consumer Cyclical,Travel Services
CW.US,Industrials,Aerospace & Defense
CSWI.US,Industrials,Specialty Industrial Machinery
UPST.US,Financial Services,Credit Services
ARCB.US,Industrials,Trucking
MATW.US,Industrials,Conglomerates
CRNX.US,Healthcare,Biotechnology
DCOMP.US,Financial Services,Banks—Regional
NXTC.US,Healthcare,Biotechnology
SCPH.US,Healthcare,Biotechnology
MEGL.US,Financial Services,Capital Markets
HOLI.US,Industrials,Electrical Equipment & Parts
LHX.US,Industrials,Aerospace & Defense
LOV.US,Communication Services,Internet Content & Information
XENE.US,Healthcare,Biotechnology
TIRX.US,Financial Services,Insurance Brokers
MIDD.US,Industrials,Specialty Industrial Machinery
AUVIP.US,Consumer Cyclical,Furnishings Fixtures & Appliances
IMOS.US,Technology,Semiconductors
UBP.US,Real Estate,REIT—Retail
KFY.US,Industrials,Staffing & Employment Services
RUSHB.US,Consumer Cyclical,Auto & Truck Dealerships
RNG.US,Technology,Software—Application
STLD.US,Basic Materials,Steel
TTMI.US,Technology,Electronic Components
MITT_B.US,NA,NA
ACIW.US,Technology,Software—Infrastructure
ACDC.US,Energy,Oil & Gas Equipment & Services
CRDO.US,Technology,Communication Equipment
AVT.US,Technology,Electronics & Computer Distribution
IPA.US,Healthcare,Biotechnology
NVX.US,Industrials,Electrical Equipment & Parts
SGH.US,Technology,Semiconductors
CUBI.US,Financial Services,Banks—Regional
DIVI.US,NA,NA
WATT.US,Technology,Scientific & Technical Instruments
HD.US,Consumer Cyclical,Home Improvement Retail
MIXT.US,Technology,Software—Application
UG.US,Consumer Defensive,Household & Personal Products
ZUMZ.US,Consumer Cyclical,Apparel Retail
NTRS.US,Financial Services,Asset Management
BTAI.US,Healthcare,Biotechnology
LOVE.US,Consumer Cyclical,Furnishings Fixtures & Appliances
AYTU.US,Healthcare,Drug Manufacturers—Specialty & Generic
MDT.US,Healthcare,Medical Devices
CAT.US,Industrials,Farm & Heavy Construction Machinery
MCHP.US,Technology,Semiconductors
FISI.US,Financial Services,Banks—Regional
MOFG.US,Financial Services,Banks—Regional
FRTX.US,Healthcare,Biotechnology
BOH.US,Financial Services,Banks—Regional
IPSC.US,Healthcare,Biotechnology
ONDS.US,Technology,Communication Equipment
AXGN.US,Healthcare,Medical Devices
RCA.US,NA,NA
RDWR.US,Technology,Software—Infrastructure
TC.US,Communication Services,Internet Content & Information
TFFP.US,Healthcare,Biotechnology
DHHC.US,Financial Services,Shell Companies
QNCX.US,Healthcare,Biotechnology
GPN.US,Industrials,Specialty Business Services
NEGG.US,Consumer Cyclical,Internet Retail
TANNL.US,NA,NA
ANTX.US,Healthcare,Biotechnology
STNG.US,Energy,Oil & Gas Midstream
DGX.US,Healthcare,Diagnostics & Research
IRS.US,Real Estate,Real Estate Services
LESL.US,Consumer Cyclical,Specialty Retail
MRVL.US,Technology,Semiconductors
PLAB.US,Technology,Semiconductor Equipment & Materials
AVDX.US,Technology,Software—Infrastructure
CTDD.US,NA,NA
SHW.US,Basic Materials,Specialty Chemicals
FBK.US,Financial Services,Banks—Regional
FDIG.US,NA,NA
UL.US,Consumer Defensive,Household & Personal Products
BRBR.US,Consumer Defensive,Packaged Foods
TCBK.US,Financial Services,Banks—Regional
SLQT.US,Financial Services,Insurance Brokers
MYSZ.US,Technology,Software—Application
RNST.US,Financial Services,Banks—Regional
SAIA.US,Industrials,Trucking
STM.US,Technology,Semiconductors
WLFC.US,Industrials,Rental & Leasing Services
MLP.US,Real Estate,Real Estate Services
CTMX.US,Healthcare,Biotechnology
GM.US,Consumer Cyclical,Auto Manufacturers
CASH.US,Financial Services,Banks—Regional
NMK_C.US,NA,NA
THRM.US,Consumer Cyclical,Auto Parts
CSIQ.US,Technology,Solar
WOLF.US,Technology,Semiconductors
PAY.US,Technology,Software—Infrastructure
VLCN.US,Consumer Cyclical,Auto Manufacturers
HMNF.US,Financial Services,Banks—Regional
CYCCP.US,Healthcare,Biotechnology
AMH_G.US,NA,NA
BPT.US,Energy,Oil & Gas Midstream
CPK.US,Utilities,Utilities—Regulated Gas
SOHOO.US,Real Estate,REIT—Hotel & Motel
BBUC.US,Financial Services,Asset Management
PRTG.US,Healthcare,Biotechnology
ILMN.US,Healthcare,Diagnostics & Research
RF_B.US,NA,NA
AUVI.US,Consumer Cyclical,Furnishings Fixtures & Appliances
PKG.US,Consumer Cyclical,Packaging & Containers
CMRE_B.US,NA,NA
J.US,Industrials,Engineering & Construction
TBPH.US,Healthcare,Biotechnology
IDT.US,Communication Services,Telecom Services
CDAK.US,Healthcare,Biotechnology
PLUG.US,Industrials,Electrical Equipment & Parts
AFRM.US,Technology,Software—Infrastructure
BILI.US,Communication Services,Electronic Gaming & Multimedia
UDMY.US,Consumer Defensive,Education & Training Services
VPG.US,Technology,Scientific & Technical Instruments
OMF.US,Financial Services,Credit Services
CVLT.US,Technology,Software—Application
MANH.US,Technology,Software—Application
SNA.US,Industrials,Tools & Accessories
VCTR.US,Financial Services,Asset Management
DBVT.US,Healthcare,Biotechnology
DFH.US,Consumer Cyclical,Residential Construction
RELL.US,Technology,Electronic Components
ISPO.US,Consumer Cyclical,Travel Services
APP.US,Technology,Software—Application
RRX.US,Industrials,Specialty Industrial Machinery
MDGL.US,Healthcare,Biotechnology
CORR.US,Real Estate,REIT—Diversified
UBSI.US,Financial Services,Banks—Regional
CULP.US,Consumer Cyclical,Textile Manufacturing
SGHT.US,Healthcare,Medical Devices
OCUL.US,Healthcare,Biotechnology
KLXE.US,Energy,Oil & Gas Equipment & Services
PYCR.US,Technology,Software—Application
BMRC.US,Financial Services,Banks—Regional
ONVO.US,Healthcare,Biotechnology
AURA.US,Healthcare,Biotechnology
QRTEP.US,Consumer Cyclical,Internet Retail
KEY_I.US,NA,NA
MBRX.US,Healthcare,Biotechnology
STRL.US,Industrials,Engineering & Construction
DAC.US,Industrials,Marine Shipping
ICFI.US,Industrials,Consulting Services
INKT.US,Healthcare,Biotechnology
AVXL.US,Healthcare,Biotechnology
CABO.US,Communication Services,Telecom Services
BMO.US,NA,NA
AEHR.US,Technology,Semiconductor Equipment & Materials
NCTY.US,Communication Services,Electronic Gaming & Multimedia
GSL.US,Industrials,Marine Shipping
LBRDA.US,Communication Services,Telecom Services
MBCN.US,Financial Services,Banks—Regional
CLLS.US,Healthcare,Biotechnology
PLUS.US,Technology,Software—Application
BKI.US,Technology,Software—Application
ANIK.US,Healthcare,Medical Devices
SIMO.US,Technology,Semiconductors
SMMT.US,Healthcare,Biotechnology
HLF.US,Consumer Defensive,Packaged Foods
THRX.US,Healthcare,Biotechnology
MTZ.US,Industrials,Engineering & Construction
PTPI.US,Healthcare,Drug Manufacturers—Specialty & Generic
ARVN.US,Healthcare,Biotechnology
ZYXI.US,Healthcare,Medical Distribution
DAO.US,Consumer Defensive,Education & Training Services
AEL.US,Financial Services,Insurance—Life
BFS.US,Real Estate,REIT—Retail
TFX.US,Healthcare,Medical Instruments & Supplies
BWEB.US,NA,NA
NPO.US,Industrials,Specialty Industrial Machinery
EVRI.US,Consumer Cyclical,Gambling
ASR.US,Industrials,Airports & Air Services
MTC.US,Technology,Software—Application
FAF.US,Financial Services,Insurance—Specialty
JILL.US,Consumer Cyclical,Apparel Retail
LYB.US,Basic Materials,Specialty Chemicals
CRAI.US,Industrials,Consulting Services
TIGR.US,Financial Services,Capital Markets
TRI.US,Industrials,Specialty Business Services
COMS.US,Communication Services,Telecom Services
DLR_K.US,NA,NA
TDOC.US,Healthcare,Health Information Services
LBTYA.US,Communication Services,Telecom Services
CPT.US,Real Estate,REIT—Residential
MODG.US,Consumer Cyclical,Leisure
URBN.US,Consumer Cyclical,Apparel Retail
MLYS.US,Healthcare,Biotechnology
MAXR.US,Technology,Communication Equipment
APO.US,Financial Services,Asset Management
MRAM.US,Technology,Semiconductors
NXC.US,Financial Services,Asset Management
CHKP.US,Technology,Software—Infrastructure
REVG.US,Industrials,Farm & Heavy Construction Machinery
CURI.US,Communication Services,Broadcasting
CLVT_A.US,NA,NA
LAKE.US,Consumer Cyclical,Apparel Manufacturing
NKE.US,Consumer Cyclical,Footwear & Accessories
FELE.US,Industrials,Specialty Industrial Machinery
IBCP.US,Financial Services,Banks—Regional
BB.US,Technology,Software—Infrastructure
EXPI.US,Real Estate,Real Estate Services
LOGI.US,Technology,Computer Hardware
AEP.US,Utilities,Utilities—Regulated Electric
MDWT.US,Financial Services,Insurance—Life
SVRA.US,Healthcare,Biotechnology
OSH.US,Healthcare,Medical Care Facilities
TNP_D.US,NA,NA
UVV.US,Consumer Defensive,Tobacco
FCUV.US,Technology,Scientific & Technical Instruments
AGIL.US,Technology,Information Technology Services
KA.US,Healthcare,Biotechnology
HAE.US,Healthcare,Medical Instruments & Supplies
COMSP.US,Communication Services,Telecom Services
WTIU.US,NA,NA
ZM.US,Technology,Software—Application
RRBI.US,Financial Services,Banks—Regional
HARP.US,Healthcare,Biotechnology
VINO.US,Real Estate,Real Estate—Diversified
SWBI.US,Industrials,Aerospace & Defense
AMWD.US,Consumer Cyclical,Furnishings Fixtures & Appliances
IFS.US,Financial Services,Banks—Regional
ODC.US,Basic Materials,Specialty Chemicals
HVT.US,Consumer Cyclical,Home Improvement Retail
FDS.US,Financial Services,Financial Data & Stock Exchanges
WFCF.US,Technology,Software—Application
AJXA.US,NA,NA
OZK.US,Financial Services,Banks—Regional
SAVA.US,Healthcare,Biotechnology
BZ.US,Industrials,Staffing & Employment Services
WW.US,Consumer Cyclical,Personal Services
IDCC.US,Communication Services,Telecom Services
EBS.US,Healthcare,Drug Manufacturers—Specialty & Generic
MCO.US,Financial Services,Financial Data & Stock Exchanges
ACHV.US,Healthcare,Biotechnology
WULF.US,Financial Services,Capital Markets
GDDY.US,Technology,Software—Infrastructure
CSGS.US,Technology,Software—Infrastructure
CUBI_E.US,NA,NA
KNTK.US,Energy,Oil & Gas Midstream
HIW.US,Real Estate,REIT—Office
ASTS.US,Communication Services,Telecom Services
MTCH.US,Communication Services,Internet Content & Information
RIVN.US,Consumer Cyclical,Auto Manufacturers
BME.US,Financial Services,Asset Management
JBK.US,NA,NA
GECCM.US,NA,NA
CRL.US,Healthcare,Diagnostics & Research
ALL.US,Financial Services,Insurance—Property & Casualty
IONS.US,Healthcare,Biotechnology
AIRT.US,Industrials,Integrated Freight & Logistics
TRIP.US,Consumer Cyclical,Travel Services
CFG_E.US,NA,NA
GMAB.US,Healthcare,Biotechnology
FOUR.US,Technology,Software—Infrastructure
VRTV.US,Industrials,Conglomerates
BRT.US,Real Estate,REIT—Residential
DBX.US,Technology,Software—Infrastructure
CIB.US,Financial Services,Banks—Regional
TTEK.US,Industrials,Engineering & Construction
ESEA.US,Industrials,Marine Shipping
DCO.US,Industrials,Aerospace & Defense
SPLK.US,Technology,Software—Infrastructure
MBOT.US,Healthcare,Medical Instruments & Supplies
NTR.US,Basic Materials,Agricultural Inputs
VRNS.US,Technology,Software—Infrastructure
FORR.US,Industrials,Consulting Services
EFSC.US,Financial Services,Banks—Regional
PTSI.US,Industrials,Trucking
MLNK.US,Technology,Software—Application
HOFV.US,Communication Services,Entertainment
LC.US,Financial Services,Credit Services
VFC.US,Consumer Cyclical,Apparel Manufacturing
ACR.US,Real Estate,REIT—Mortgage
BOH_A.US,NA,NA
SGMO.US,Healthcare,Biotechnology
VRTS.US,Financial Services,Asset Management
LNTH.US,Healthcare,Drug Manufacturers—Specialty & Generic
ONCT.US,Healthcare,Biotechnology
HSKA.US,Healthcare,Medical Devices
PBI_B.US,NA,NA
ASTC.US,Industrials,Aerospace & Defense
TRVN.US,Healthcare,Biotechnology
MS_I.US,NA,NA
ABM.US,Industrials,Specialty Business Services
SARK.US,NA,NA
CHMI_B.US,NA,NA
ENVA.US,Financial Services,Credit Services
THMO.US,Healthcare,Medical Devices
SPSC.US,Technology,Software—Infrastructure
SABR.US,Consumer Cyclical,Travel Services
FORM.US,Technology,Semiconductors
SXT.US,Basic Materials,Specialty Chemicals
CWST.US,Industrials,Waste Management
RPID.US,Healthcare,Medical Devices
DAM.US,NA,NA
EIX.US,Utilities,Utilities—Regulated Electric
RUBY.US,Healthcare,Biotechnology
TAP-A.US,Consumer Defensive,Beverages—Brewers
AMAT.US,Technology,Semiconductor Equipment & Materials
FATBB.US,Consumer Cyclical,Restaurants
HIMS.US,Consumer Defensive,Household & Personal Products
RCL.US,Consumer Cyclical,Travel Services
KARO.US,Technology,Software—Application
GAMB.US,Consumer Cyclical,Gambling
BMA.US,Financial Services,Banks—Regional
HQY.US,Healthcare,Health Information Services
BSX.US,Healthcare,Medical Devices
WNW.US,Consumer Cyclical,Internet Retail
AIZ.US,Financial Services,Insurance—Specialty
DXCM.US,Healthcare,Medical Devices
WB.US,Communication Services,Internet Content & Information
NDSN.US,Industrials,Specialty Industrial Machinery
XPOF.US,Consumer Cyclical,Leisure
AAN.US,Industrials,Rental & Leasing Services
AZYO.US,Healthcare,Medical Devices
SPOT.US,Communication Services,Internet Content & Information
ISPC.US,Healthcare,Diagnostics & Research
EAST.US,Consumer Defensive,Beverages—Wineries & Distilleries
CWK.US,Real Estate,Real Estate Services
BLMN.US,Consumer Cyclical,Restaurants
PIXY.US,Industrials,Staffing & Employment Services
PRSO.US,Technology,Semiconductors
MOGU.US,Consumer Cyclical,Internet Retail
NNN.US,Real Estate,REIT—Retail
EBTC.US,Financial Services,Banks—Regional
TVTX.US,Healthcare,Biotechnology
HEAR.US,Technology,Consumer Electronics
STN.US,Industrials,Engineering & Construction
UNVR.US,Basic Materials,Chemicals
KDNY.US,Healthcare,Biotechnology
SEER.US,Healthcare,Biotechnology
ECPG.US,Financial Services,Mortgage Finance
ASPN.US,Industrials,Building Products & Equipment
FMC.US,Basic Materials,Agricultural Inputs
HUDI.US,Basic Materials,Steel
PSA_J.US,NA,NA
APLS.US,Healthcare,Biotechnology
EMN.US,Basic Materials,Specialty Chemicals
KAI.US,Industrials,Specialty Industrial Machinery
NMK_B.US,NA,NA
CRCT.US,Technology,Computer Hardware
ZBRA.US,Technology,Communication Equipment
LHDXQ.US,Healthcare,Medical Devices
ITRN.US,Technology,Communication Equipment
EL.US,Consumer Defensive,Household & Personal Products
SWKH.US,Financial Services,Asset Management
ARBK.US,Financial Services,Capital Markets
FORTY.US,Technology,Information Technology Services
FATBP.US,Consumer Cyclical,Restaurants
SRGA.US,Healthcare,Medical Devices
MTCN.US,NA,NA
CDR_B.US,NA,NA
CVI.US,Energy,Oil & Gas Refining & Marketing
FNLC.US,Financial Services,Banks—Regional
ZNHYY.US,Industrials,Airlines
HTIA.US,Real Estate,REIT—Healthcare Facilities
DY.US,Industrials,Engineering & Construction
DECK.US,Consumer Cyclical,Footwear & Accessories
PCAR.US,Industrials,Farm & Heavy Construction Machinery
OXSQZ.US,NA,NA
PPBT.US,Healthcare,Biotechnology
ANET.US,Technology,Computer Hardware
BGFV.US,Consumer Cyclical,Specialty Retail
MELI.US,Consumer Cyclical,Internet Retail
ANY.US,Technology,Software—Application
NATI.US,Technology,Software—Application
GOEV.US,Consumer Cyclical,Auto Manufacturers
SFM.US,Consumer Defensive,Grocery Stores
GOOGL.US,Communication Services,Internet Content & Information
CATC.US,Financial Services,Banks—Regional
PLD.US,Real Estate,REIT—Industrial
INT.US,Energy,Oil & Gas Refining & Marketing
STOR.US,NA,NA
DZSI.US,Technology,Communication Equipment
TXG.US,Healthcare,Health Information Services
LULU.US,Consumer Cyclical,Apparel Retail
SABRP.US,Consumer Cyclical,Travel Services
CMP.US,Basic Materials,Other Industrial Metals & Mining
VIPS.US,Consumer Cyclical,Internet Retail
LAMR.US,Real Estate,REIT—Specialty
LSTA.US,Healthcare,Biotechnology
LLY.US,Healthcare,Drug Manufacturers—General
SGML.US,Basic Materials,Other Industrial Metals & Mining
WLDN.US,Industrials,Engineering & Construction
AVTA.US,Financial Services,Asset Management
AVDL.US,Healthcare,Drug Manufacturers—Specialty & Generic
FBRX.US,Healthcare,Biotechnology
EOSE.US,Industrials,Electrical Equipment & Parts
AAPB.US,NA,NA
PLUR.US,Healthcare,Biotechnology
FWONA.US,Communication Services,Entertainment
ATOM.US,Technology,Semiconductor Equipment & Materials
HYLN.US,Consumer Cyclical,Auto Parts
GEHI.US,Consumer Defensive,Education & Training Services
FTAIP.US,Industrials,Rental & Leasing Services
IHRT.US,Communication Services,Broadcasting
ARMK.US,Industrials,Specialty Business Services
ITW.US,Industrials,Specialty Industrial Machinery
NOTV.US,Healthcare,Diagnostics & Research
IRBT.US,Consumer Cyclical,Furnishings Fixtures & Appliances
TRMR.US,Communication Services,Advertising Agencies
FR.US,Real Estate,REIT—Industrial
VRM.US,Consumer Cyclical,Auto & Truck Dealerships
CODI.US,Industrials,Conglomerates
PRTS.US,Consumer Cyclical,Internet Retail
EMBK.US,Technology,Software—Application
AAT.US,Real Estate,REIT—Diversified
PAC.US,Industrials,Airports & Air Services
MMS.US,Industrials,Specialty Business Services
TSLS.US,NA,NA
ALEC.US,Healthcare,Biotechnology
SPRB.US,Healthcare,Biotechnology
HCCI.US,Industrials,Waste Management
MOXC.US,Communication Services,Advertising Agencies
SHOP.US,Technology,Software—Application
NTIC.US,Basic Materials,Specialty Chemicals
BQ.US,Consumer Cyclical,Specialty Retail
KROS.US,Healthcare,Biotechnology
QSR.US,Consumer Cyclical,Restaurants
SENEA.US,Consumer Defensive,Packaged Foods
AGR.US,Utilities,Utilities—Regulated Electric
ZS.US,Technology,Software—Infrastructure
DX_C.US,NA,NA
ANIP.US,Healthcare,Drug Manufacturers—Specialty & Generic
WFC_Q.US,NA,NA
AVID.US,Technology,Software—Application
DLNG_A.US,NA,NA
CTKB.US,Healthcare,Medical Devices
ESLT.US,Industrials,Aerospace & Defense
GBX.US,Industrials,Railroads
SIVBP.US,Financial Services,Banks—Regional
CBRE.US,Real Estate,Real Estate Services
GLW.US,Technology,Electronic Components
APAM.US,Financial Services,Asset Management
CEM.US,Financial Services,Asset Management
TELA.US,Healthcare,Medical Devices
KIDS.US,Healthcare,Medical Devices
CSSEP.US,Communication Services,Entertainment
PGNY.US,Healthcare,Health Information Services
WRB_F.US,NA,NA
CRVS.US,Healthcare,Biotechnology
APA.US,Energy,Oil & Gas E&P
VRAX.US,Healthcare,Biotechnology
ARQT.US,Healthcare,Biotechnology
HBB.US,Consumer Cyclical,Furnishings Fixtures & Appliances
ABSI.US,Healthcare,Biotechnology
EDSA.US,Healthcare,Biotechnology
RETA.US,Healthcare,Biotechnology
TLIS.US,Healthcare,Medical Devices
MITT.US,Real Estate,REIT—Mortgage
QTRX.US,Healthcare,Medical Devices
GOOG.US,Communication Services,Internet Content & Information
BYND.US,Consumer Defensive,Packaged Foods
IMAB.US,Healthcare,Biotechnology
KIM_L.US,NA,NA
EPAC.US,Industrials,Specialty Industrial Machinery
WFC.US,Financial Services,Banks—Diversified
TEL.US,Technology,Electronic Components
HOWL.US,Healthcare,Biotechnology
ALTR.US,Technology,Software—Infrastructure
CPLP.US,Industrials,Marine Shipping
LMST.US,Financial Services,Banks—Regional
OPI.US,Real Estate,REIT—Office
MCRB.US,Healthcare,Biotechnology
MCRI.US,Consumer Cyclical,Resorts & Casinos
AMG.US,Financial Services,Asset Management
BWXT.US,Industrials,Aerospace & Defense
EYPT.US,Healthcare,Biotechnology
AZEK.US,Industrials,Building Products & Equipment
DUOL.US,Technology,Software—Application
HYDR.US,NA,NA
NYT.US,Communication Services,Publishing
NARI.US,Healthcare,Medical Devices
CUBB.US,NA,NA
BIP.US,Utilities,Utilities—Diversified
DOW.US,Basic Materials,Chemicals
BNRE.US,Financial Services,Insurance—Reinsurance
MYNZ.US,Healthcare,Diagnostics & Research
BRK-A.US,NA,NA
ENLV.US,Healthcare,Biotechnology
GNL_A.US,NA,NA
JBT.US,Industrials,Specialty Industrial Machinery
NUWE.US,Healthcare,Medical Devices
LDI.US,Financial Services,Mortgage Finance
MOG-B.US,NA,NA
WU.US,Financial Services,Credit Services
LIN.US,Basic Materials,Specialty Chemicals
DAR.US,Consumer Defensive,Packaged Foods
FRT.US,Real Estate,REIT—Retail
DHCNI.US,NA,NA
JFU.US,Technology,Information Technology Services
NOVA.US,Technology,Solar
SY.US,Healthcare,Health Information Services
TK.US,Energy,Oil & Gas Midstream
UDR.US,Real Estate,REIT—Residential
YALA.US,Technology,Software—Application
GILT.US,Technology,Communication Equipment
KKR_C.US,NA,NA
CYT.US,Healthcare,Biotechnology
FCEL.US,Industrials,Electrical Equipment & Parts
NTCT.US,Technology,Software—Infrastructure
OFC.US,Real Estate,REIT—Office
DLHC.US,Industrials,Specialty Business Services
ATSG.US,Industrials,Airlines
CCRD.US,Technology,Software—Application
SNPS.US,Technology,Software—Infrastructure
MGTA.US,Healthcare,Biotechnology
MODV.US,Healthcare,Medical Care Facilities
DTE.US,Utilities,Utilities—Regulated Electric
GHC.US,Consumer Defensive,Education & Training Services
NBRV.US,Healthcare,Biotechnology
COLL.US,Healthcare,Drug Manufacturers—Specialty & Generic
SCWX.US,Technology,Software—Infrastructure
SWI.US,Technology,Software—Infrastructure
NTCO.US,Consumer Defensive,Household & Personal Products
CMPS.US,Healthcare,Medical Care Facilities
TPST.US,Healthcare,Biotechnology
LUMO.US,Healthcare,Biotechnology
ICHR.US,Technology,Semiconductor Equipment & Materials
AOTG.US,NA,NA
BSVN.US,Financial Services,Banks—Regional
GCO.US,Consumer Cyclical,Apparel Retail
MKTX.US,Financial Services,Capital Markets
BYOB.US,NA,NA
OMER.US,Healthcare,Biotechnology
CHWY.US,Consumer Cyclical,Internet Retail
BANC.US,Financial Services,Banks—Regional
DIN.US,Consumer Cyclical,Restaurants
KBR.US,Industrials,Engineering & Construction
MOH.US,Healthcare,Healthcare Plans
RCKY.US,Consumer Cyclical,Footwear & Accessories
RIBT.US,Consumer Defensive,Packaged Foods
TRTN.US,Industrials,Rental & Leasing Services
CSGP.US,Real Estate,Real Estate Services
NCR.US,Technology,Information Technology Services
DESP.US,Consumer Cyclical,Travel Services
VIGL.US,Healthcare,Biotechnology
CRDF.US,Healthcare,Biotechnology
JT.US,Financial Services,Credit Services
HURC.US,Industrials,Specialty Industrial Machinery
DENN.US,Consumer Cyclical,Restaurants
EHTH.US,Financial Services,Insurance Brokers
INSP.US,Healthcare,Medical Devices
APPHW.US,NA,NA
FGBIP.US,Financial Services,Banks—Regional
CVCO.US,Consumer Cyclical,Residential Construction
JYNT.US,Healthcare,Medical Care Facilities
NSP.US,Industrials,Staffing & Employment Services
BKU.US,Financial Services,Banks—Regional
AVAV.US,Industrials,Aerospace & Defense
DSGR.US,Industrials,Industrial Distribution
SNOA.US,Healthcare,Drug Manufacturers—Specialty & Generic
CBL.US,Real Estate,REIT—Retail
MRTX.US,Healthcare,Biotechnology
EPR_C.US,NA,NA
PSFE.US,Technology,Software—Infrastructure
YELP.US,Communication Services,Internet Content & Information
HIBB.US,Consumer Cyclical,Apparel Retail
HVBC.US,Financial Services,Banks—Regional
HSY.US,Consumer Defensive,Confectioners
CIZN.US,Financial Services,Banks—Regional
UFPI.US,Basic Materials,Lumber & Wood Production
CUZ.US,Real Estate,REIT—Office
YQ.US,Consumer Defensive,Education & Training Services
TNK.US,Energy,Oil & Gas Midstream
ABOS.US,Healthcare,Biotechnology
NNBR.US,Industrials,Conglomerates
TRS.US,Consumer Cyclical,Packaging & Containers
ICPT.US,Healthcare,Biotechnology
MPAA.US,Consumer Cyclical,Auto Parts
EBET.US,Consumer Cyclical,Gambling
QDEL.US,Healthcare,Medical Devices
ARCE.US,Consumer Defensive,Education & Training Services
CPNG.US,Consumer Cyclical,Internet Retail
NRP.US,Energy,Thermal Coal
SYBX.US,Healthcare,Biotechnology
NXTP.US,Technology,Software—Infrastructure
CHCO.US,Financial Services,Banks—Regional
TRMB.US,Technology,Scientific & Technical Instruments
HT_D.US,NA,NA
IOT.US,Technology,Software—Infrastructure
NEE.US,Utilities,Utilities—Regulated Electric
GDOT.US,Financial Services,Credit Services
MLTX.US,Healthcare,Biotechnology
SUPV.US,Financial Services,Banks—Regional
PFG.US,Financial Services,Asset Management
BAC_L.US,NA,NA
DEN.US,Energy,Oil & Gas E&P
BLFS.US,Healthcare,Medical Instruments & Supplies
PAGP.US,Energy,Oil & Gas Midstream
ENB.US,Energy,Oil & Gas Midstream
FLNC.US,Utilities,Utilities—Renewable
AHT_F.US,NA,NA
IRMD.US,Healthcare,Medical Devices
W.US,Consumer Cyclical,Internet Retail
GROM.US,Communication Services,Internet Content & Information
ECOR.US,Healthcare,Medical Devices
MTB.US,Financial Services,Banks—Regional
BBIO.US,Healthcare,Biotechnology
RAND.US,Financial Services,Asset Management
JSPR.US,Healthcare,Biotechnology
NVTS.US,Technology,Semiconductors
RXT.US,Technology,Software—Infrastructure
FVCB.US,Financial Services,Banks—Regional
SQZ.US,Healthcare,Biotechnology
SUMO.US,Technology,Software—Infrastructure
BUSE.US,Financial Services,Banks—Regional
OVBC.US,Financial Services,Banks—Regional
RTLPP.US,Real Estate,REIT—Diversified
FERG.US,Industrials,Industrial Distribution
DGLY.US,Industrials,Security & Protection Services
KBH.US,Consumer Cyclical,Residential Construction
MBINO.US,Financial Services,Banks—Regional
ASGN.US,Technology,Information Technology Services
CVNA.US,Consumer Cyclical,Auto & Truck Dealerships
IMKTA.US,Consumer Defensive,Grocery Stores
FIX.US,Industrials,Engineering & Construction
LGMK.US,Industrials,Security & Protection Services
PEB_E.US,NA,NA
AUTL.US,Healthcare,Biotechnology
REAL.US,Consumer Cyclical,Luxury Goods
WTID.US,NA,NA
RGA.US,Financial Services,Insurance—Reinsurance
MF.US,Consumer Defensive,Grocery Stores
EPRT.US,Real Estate,REIT—Diversified
MSBI.US,Financial Services,Banks—Regional
QVCC.US,NA,NA
BML_H.US,NA,NA
BCML.US,Financial Services,Banks—Regional
KD.US,Technology,Information Technology Services
MC.US,Financial Services,Capital Markets
NFG.US,Energy,Oil & Gas Integrated
IBTX.US,Financial Services,Banks—Regional
RKT.US,Financial Services,Mortgage Finance
APPN.US,Technology,Software—Infrastructure
CLPT.US,Healthcare,Medical Devices
C.US,Financial Services,Banks—Diversified
VET.US,Energy,Oil & Gas E&P
FOSL.US,Consumer Cyclical,Luxury Goods
BEEM.US,Technology,Solar
ANGO.US,Healthcare,Medical Instruments & Supplies
ESPR.US,Healthcare,Drug Manufacturers—Specialty & Generic
PDEX.US,Healthcare,Medical Instruments & Supplies
SNBR.US,Consumer Cyclical,Furnishings Fixtures & Appliances
WILC.US,Consumer Defensive,Food Distribution
SPI.US,Technology,Solar
REXR_B.US,NA,NA
CBIO.US,Healthcare,Biotechnology
MT.US,Basic Materials,Steel
UBCP.US,Financial Services,Banks—Regional
VZIO.US,Technology,Consumer Electronics
SCHW.US,Financial Services,Capital Markets
